,q1,q2
540,Spor tesislerimizin imkanları nelerdir?,spor salonunda ne gibi sporlar yapılmakta
541,Spor tesislerimizin imkanları nelerdir?,Spor tesisinde hangi dal sporlar bulunuyor?
542,spor salonunda ne gibi sporlar yapılmakta,Spor tesisinde hangi dal sporlar bulunuyor?
543,Dolapdere yüzme havuzu ve fitness salonu kullanım koşulları nelerdir?,yüzme havuzu ve finess salonunu nasıl kullanırım
544,Dolapdere yüzme havuzu ve fitness salonu kullanım koşulları nelerdir?,yüzme havuzu ve fitness salonu kullanım şartları nelerdir?
545,yüzme havuzu ve finess salonunu nasıl kullanırım,yüzme havuzu ve fitness salonu kullanım şartları nelerdir?
546,Spor Salonu'ndan ödünç malzeme alabilir miyim?,spor salonlarındaki malzemeler ödünç veriliyor mu
547,Spor Salonu'ndan ödünç malzeme alabilir miyim?,Spor salonundan ödünç bişey alabilir miyim?
548,spor salonlarındaki malzemeler ödünç veriliyor mu,Spor salonundan ödünç bişey alabilir miyim?
549,BİLGİ'de hangi spor takımları var?,üniversitede spor takımları var mı
550,BİLGİ'de hangi spor takımları var?,Üniversite de hangi dalda spor takımları var?
551,üniversitede spor takımları var mı,Üniversite de hangi dalda spor takımları var?
552,Spor takımları seçmeleri ne zaman olur?,spor takımları için seçmeler ne zaman yapılıyor
553,Spor takımları seçmeleri ne zaman olur?,spor takımı seçmeleri ne zaman başlıyor?
554,spor takımları için seçmeler ne zaman yapılıyor,spor takımı seçmeleri ne zaman başlıyor?
555,Spor takımlarında kimler yer alabilir?,spor takımında yer almak için kriterler nelerdir
556,Spor takımlarında kimler yer alabilir?,spor takımına katılma koşulları nelerdir?
557,spor takımında yer almak için kriterler nelerdir,spor takımına katılma koşulları nelerdir?
558,Spor bursu almanın şartları nelerdir?,spro bursu nasıl alınır
559,Spor bursu almanın şartları nelerdir?,spor bursu veriliyor mu?
560,spro bursu nasıl alınır,spor bursu veriliyor mu?
561,Eğitim dili olarak hangi dil kullanılır?,eğitimde hangi dil kullanılıyor
562,Eğitim dili olarak hangi dil kullanılır?,Eğitim dili türkçe mi?
563,eğitimde hangi dil kullanılıyor,Eğitim dili türkçe mi?
564,Lisans programının süresi nedir?,lisans programları kaç yıl sürüyor
565,Lisans programının süresi nedir?,Lisans kaç sene sürüyor?
566,lisans programları kaç yıl sürüyor,Lisans kaç sene sürüyor?
567,Yüksek Lisans programının süresi nedir?,yüksek lisans kaç yıl sürüyor
568,Yüksek Lisans programının süresi nedir?,Yüksek lisans kaç sene sürüyor?
569,yüksek lisans kaç yıl sürüyor,Yüksek lisans kaç sene sürüyor?
570,Uluslararası Öğrenci Durumundan yararlanabildiğimi nasıl doğrulayabilirim?,uluslararası öğrenci durumunu nasıl doğrulayabilirim
571,Uluslararası Öğrenci Durumundan yararlanabildiğimi nasıl doğrulayabilirim?,Uluslararası öğrenci durumumu nereden doğrulayabilirim?
572,uluslararası öğrenci durumunu nasıl doğrulayabilirim,Uluslararası öğrenci durumumu nereden doğrulayabilirim?
573,Uluslararası Öğrenci çalışabilir mi?,uluslararası öğrenciyim çalışma hakkım var mı
574,Uluslararası Öğrenci çalışabilir mi?,uluslararası öğrenciler çalışabiliyor mu?
575,uluslararası öğrenciyim çalışma hakkım var mı,uluslararası öğrenciler çalışabiliyor mu?
576,Lise diploması denklik mektubunu nasıl alınır ?,lise denklik belgesini nasıl alırım
577,Lise diploması denklik mektubunu nasıl alınır ?,lise denklik evrakı nasıl alınır?
578,lise denklik belgesini nasıl alırım,lise denklik evrakı nasıl alınır?
579,Öğrenim Vizesi nasıl alınır?,öğrenim için vize nasıl alınır
580,Öğrenim Vizesi nasıl alınır?,Öğrenciler için vize nasıl alınır?
581,öğrenim için vize nasıl alınır,Öğrenciler için vize nasıl alınır?
582,İkamet izni nasıl alınır?,ikamet izni almak istiyorum ne yapmam gerekiyor
583,İkamet izni nasıl alınır?,ikamet izni nereden alınır?
584,ikamet izni almak istiyorum ne yapmam gerekiyor,ikamet izni nereden alınır?
585,İstanbul Bilgi Üniversitesinde konaklama var mı?,üniversitede konaklama imkanı var mı
586,İstanbul Bilgi Üniversitesinde konaklama var mı?,üniversite konaklama sunuyor mu?
587,üniversitede konaklama imkanı var mı,üniversite konaklama sunuyor mu?
588,Derslerin hepsi ingilizce mi veriyor?,Dersler sadece ingilizce mi görülüyor?
589,Derslerin hepsi ingilizce mi veriyor?,Bütün dersler ingilizce mi?
590,Dersler sadece ingilizce mi görülüyor?,Bütün dersler ingilizce mi?
591,Hazırlıktan nasıl muaf olabilirim ?,İngilizce hazırlıktan muaf olabilir miyim ?
592,Hazırlıktan nasıl muaf olabilirim ?,Yds veya toefl ile hazırlıktan muaf olabilir miyim?
593,İngilizce hazırlıktan muaf olabilir miyim ?,Yds veya toefl ile hazırlıktan muaf olabilir miyim?
594,Üniversinin yıllık ücreti ne kadar ?,Mühendislik fakültesinin ücreti ne kadar ?
595,Üniversinin yıllık ücreti ne kadar ?,İletişim Fakültesinin ücreti ne kadar ?
596,Mühendislik fakültesinin ücreti ne kadar ?,İletişim Fakültesinin ücreti ne kadar ?
597,Yaz okulu ücretli mi?,Yaz okulu ücreti ne kadar ?
598,Yaz okulu ücretli mi?,Yaz okulunda kredi ücreti ne kadar?
599,Yaz okulu ücreti ne kadar ?,Yaz okulunda kredi ücreti ne kadar?
600,Hazırlık kaç dönem sürüyor?,Hazırlık kaç kurdan oluşuyor?
601,Hazırlık kaç dönem sürüyor?,İngilizce hazırlık 1 yıl mı sürüyor?
602,Hazırlık kaç kurdan oluşuyor?,İngilizce hazırlık 1 yıl mı sürüyor?
603,Hazırlıkta yanlış seviyeye yerleştim. Ne yapmam gerekiyor?,Hazırlık sınavında olduğum seviyeden yüksek seviyeye yerleştim ne yapabilirim?
604,Hazırlıkta yanlış seviyeye yerleştim. Ne yapmam gerekiyor?,İngilizce sınavında yanlış kura yerleştirildim. Düzelttirebilir miyim?
605,Hazırlık sınavında olduğum seviyeden yüksek seviyeye yerleştim ne yapabilirim?,İngilizce sınavında yanlış kura yerleştirildim. Düzelttirebilir miyim?
606,Hazırlık sınavından düşük not aldım seviyemin altındaki kura yerleştim ne yapabilirim?,İngilizce sınavım beklediğimden kötü geçti düşük seviyeye yerleştim ne yapabilirim?
607,Hazırlık sınavından düşük not aldım seviyemin altındaki kura yerleştim ne yapabilirim?,Hazırlık sınavım çok düşük geldi yanlış seviyeye yerleştirildim düzelttirebilir miyim?
608,İngilizce sınavım beklediğimden kötü geçti düşük seviyeye yerleştim ne yapabilirim?,Hazırlık sınavım çok düşük geldi yanlış seviyeye yerleştirildim düzelttirebilir miyim?
609,Hazırlıkta son kur sınavından kaldım okulum uzayacak mı ne yapabilirim?,İngilizce Hazırlıkta 5. kurdan kaldım alternatif yöntemlerle mezun olabilirmiyim?
610,Hazırlıkta son kur sınavından kaldım okulum uzayacak mı ne yapabilirim?,Hazırlıkta 5. kurda kaldım bilete girebilirmiyim okulum uzayacak mı?
611,İngilizce Hazırlıkta 5. kurdan kaldım alternatif yöntemlerle mezun olabilirmiyim?,Hazırlıkta 5. kurda kaldım bilete girebilirmiyim okulum uzayacak mı?
612,Bilet Sınavına girme şartları nelerdir?,Hazırlık muafiyet sınavına girme koşulları nelerdir?
613,Bilet Sınavına girme şartları nelerdir?,Hazırlığı bitirmek için bilete girmem gerekiyor şartları nelerdir?
614,Hazırlık muafiyet sınavına girme koşulları nelerdir?,Hazırlığı bitirmek için bilete girmem gerekiyor şartları nelerdir?
615,Hazırlıkta devam zorunluluğu var mı?,İngilizce hazırlıkta derslere gitmek zorunda mıyım?
616,Hazırlıkta devam zorunluluğu var mı?,Hazırlıkta devamsızlık yaparsam kalırmıyım?
617,İngilizce hazırlıkta derslere gitmek zorunda mıyım?,Hazırlıkta devamsızlık yaparsam kalırmıyım?
618,Hazırlıkta sınav sistemi nasıl oluyor?,İngilizce hazırlıkta sınavlar hangi yöntemlerle yapılıyor?
619,Hazırlıkta sınav sistemi nasıl oluyor?,hazırlıkta sınav olarak hangi sınav yöntemler kullanılıyor?
620,İngilizce hazırlıkta sınavlar hangi yöntemlerle yapılıyor?,hazırlıkta sınav olarak hangi sınav yöntemler kullanılıyor?
621,Kur geçme sınavı nasıl oluyor ?,Kur geçme sınavında konuşma sınavı var mı ?
622,Kur geçme sınavı nasıl oluyor ?,Kur geçme sınavında hangi sınavlar var ?
623,Kur geçme sınavında konuşma sınavı var mı ?,Kur geçme sınavında hangi sınavlar var ?
624,Kur geçme sınavından kalırsam ne olur ?,Kur geçme sınavından kalırsam okulum uzar mı?
625,Kur geçme sınavından kalırsam ne olur ?,Kur geçme sınavından çok düşük aldım ama dönem içi ortalamam içi kalır mıyım ?
626,Kur geçme sınavından kalırsam okulum uzar mı?,Kur geçme sınavından çok düşük aldım ama dönem içi ortalamam içi kalır mıyım ?
627,Kur geçme sınavının geçme sınırı kaç puan ?,Kur geçme sınavının geçme notu kaç ?
628,Kur geçme sınavının geçme sınırı kaç puan ?,Kur geçme sınavında not barajı var mı?
629,Kur geçme sınavının geçme notu kaç ?,Kur geçme sınavında not barajı var mı?
630,Hazırlık okurken kulüplere katılabilir miyim ?,Kulüplere katılmak için hazırlığı bitirmem gerekiyor mu ?
631,Hazırlık okurken kulüplere katılabilir miyim ?,Kulüplere girmek için ingilizce hazırlığı geçmem şart mı?
632,Kulüplere katılmak için hazırlığı bitirmem gerekiyor mu ?,Kulüplere girmek için ingilizce hazırlığı geçmem şart mı?
633,Hazırlık hangi kampüstedir ?,İngilizce hazırlık santralde mi ?
634,Hazırlık hangi kampüstedir ?,Hangi kampüste hazırlık dersleri veriliyor ?
635,İngilizce hazırlık santralde mi ?,Hangi kampüste hazırlık dersleri veriliyor ?
636,Hazırlık okuyorum. Kuştepeye ulaşım imkanı var mı ?,Üniversite hazırlık için shuttle imkanı sağlıyor mu ?
637,Hazırlık okuyorum. Kuştepeye ulaşım imkanı var mı ?,Bilgi hazırlık için ulaşım hizmeti veriyor mu ?
638,Üniversite hazırlık için shuttle imkanı sağlıyor mu ?,Bilgi hazırlık için ulaşım hizmeti veriyor mu ?
639,Hazırlık okuyorum. Diğer kampüslere gidebilir miyim ?,Hazırlık okuyanlar santral kampüsüne girebilir mi ?
640,Hazırlık okuyorum. Diğer kampüslere gidebilir miyim ?,Hazırlıktan mezun olmadım ama dolapdere kampüsüne girebilir miyim?
641,Hazırlık okuyanlar santral kampüsüne girebilir mi ?,Hazırlıktan mezun olmadım ama dolapdere kampüsüne girebilir miyim?
642,Hazırlık notlarım genel not ortalama mı etkiliyor mu ?,Hazırlıktaki yüksek başarı elde ettim genel not ortalamama yansıyor mu ?
643,Hazırlık notlarım genel not ortalama mı etkiliyor mu ?,Hazırlıkta çok kötü notlar aldım bu notlar genel not ortalama mı etkiliyor mu ?
644,Hazırlıktaki yüksek başarı elde ettim genel not ortalamama yansıyor mu ?,Hazırlıkta çok kötü notlar aldım bu notlar genel not ortalama mı etkiliyor mu ?
645,Hazırlıkta yüksek başarı elde edersem burs alabilir miyim ?,Hazırlıkta başarı bursu alınıyor mu ?
646,Hazırlıkta yüksek başarı elde edersem burs alabilir miyim ?,Başarı bursu hazırlıkta geçerli mi?
647,Hazırlıkta başarı bursu alınıyor mu ?,Başarı bursu hazırlıkta geçerli mi?
648,Hazırlık okuyorum yerleştiğim sınıfı beğenmedim. Sınıfımı değiştirebilirmiyim ?,Hazırlıkta sınıf değiştirme imkanı var mı?
649,Hazırlık okuyorum yerleştiğim sınıfı beğenmedim. Sınıfımı değiştirebilirmiyim ?,Hazırlıktayım arkadaşımın olduğu sınıfa geçmek istiyorum ne yapabilirim?
650,Hazırlıkta sınıf değiştirme imkanı var mı?,Hazırlıktayım arkadaşımın olduğu sınıfa geçmek istiyorum ne yapabilirim?
651,Hastayım Kur geçme sınavına giremeyeceğim ne yapabilirim?,Kur geçme sınavının telafisi var mı ?
652,Hastayım Kur geçme sınavına giremeyeceğim ne yapabilirim?,Mazeretimden dolayı kur geçme sınavına giremedim ne yapabilirim?
653,Kur geçme sınavının telafisi var mı ?,Mazeretimden dolayı kur geçme sınavına giremedim ne yapabilirim?
654,Hazırlıktayken bölüm derslerimi alabilir miyim ?,Hazırlıktan mezun olmadan lisans dersleri alabilir miyim ?
655,Hazırlıktayken bölüm derslerimi alabilir miyim ?,İngilizce hazırlık bitmeden bölüm derslerimi alabilirmiyim?
656,Hazırlıktan mezun olmadan lisans dersleri alabilir miyim ?,İngilizce hazırlık bitmeden bölüm derslerimi alabilirmiyim?
657,Kuştepe de boş vakitlerimde ne yapabilirim?,Kuştepe de etkinlik imkanı var mı ?
658,Kuştepe de boş vakitlerimde ne yapabilirim?,Kuştepe kampüsünde hangi etkinlikleri yapabilirim?
659,Kuştepe de etkinlik imkanı var mı ?,Kuştepe kampüsünde hangi etkinlikleri yapabilirim?
660,Kuştepe kampüsünde kütüphane var mı?,Hazırlıkta kütüphane var mı?
661,Kuştepe kampüsünde kütüphane var mı?,Kuştepe de kütüphane var mı?
662,Hazırlıkta kütüphane var mı?,Kuştepe de kütüphane var mı?
663,Hazırlıkta dönem içi notlarım çok düşük geldi. Kur geçme sınavından kaç alırsam geçebilirim?,Kur geçme sınavından kaç alırsam dönem içi notuma bakılmaz?
664,Hazırlıkta dönem içi notlarım çok düşük geldi. Kur geçme sınavından kaç alırsam geçebilirim?,Kur geçme sınavından direkt kur atlamak için kaç almam gerekiyor ?
665,Kur geçme sınavından kaç alırsam dönem içi notuma bakılmaz?,Kur geçme sınavından direkt kur atlamak için kaç almam gerekiyor ?
666,Kuştepe shuttle larına nereden ulaşabilirim?,Kuştepe servisleri nereden kalkıyor?
667,Kuştepe shuttle larına nereden ulaşabilirim?,Kuştepeye metrobüsten ulaşım var mı?
668,Kuştepe servisleri nereden kalkıyor?,Kuştepeye metrobüsten ulaşım var mı?
669,Hazırlığı kaç dönem uzatırsam atılırım?,Hazırlıktan kalırsam atılırmıyım?
670,Hazırlığı kaç dönem uzatırsam atılırım?,Hazırlıktan 2 yıl kaldım bi daha kayıt yenileyebilir miyim?
671,Hazırlıktan kalırsam atılırmıyım?,Hazırlıktan 2 yıl kaldım bi daha kayıt yenileyebilir miyim?
672,Hazırlık ücreti bölüm ücretiyle aynı mı ?,Hazırlık ücreti ne kadar ?
673,Hazırlık ücreti bölüm ücretiyle aynı mı ?,İngilizce hazırlık fiyatı ne kadar ?
674,Hazırlık ücreti ne kadar ?,İngilizce hazırlık fiyatı ne kadar ?
675,Hazırlığı yurtdışında tamamlama imkanım var mı?,Bilgi hazırlık okurken yurt dışına gönderiyor mu ?
676,Hazırlığı yurtdışında tamamlama imkanım var mı?,Üniversitenin ingilizce hazırlıgı yurt dışında okutma imkanı var mı?
677,Bilgi hazırlık okurken yurt dışına gönderiyor mu ?,Üniversitenin ingilizce hazırlıgı yurt dışında okutma imkanı var mı?
678,Kuştepe de eşyamı kaybettim ne yapabilirim ?,Hazırlıkta eşya mı bulamıyorum ne yapabilirim?
679,Kuştepe de eşyamı kaybettim ne yapabilirim ?,Kuştepe de kayıp eşya bürosu var mı?
680,Hazırlıkta eşya mı bulamıyorum ne yapabilirim?,Kuştepe de kayıp eşya bürosu var mı?
681,Kuştepe shuttle ları saat kaça kadar çalışıyor?,Hazırlık servisleri çalışma saatlerini öğrenebilir miyim ?
682,Kuştepe shuttle ları saat kaça kadar çalışıyor?,Shuttleların çalışma saatini nereden öğrenebilirim
683,Hazırlık servisleri çalışma saatlerini öğrenebilir miyim ?,Shuttleların çalışma saatini nereden öğrenebilirim
684,Hazırlık kitaplarını nereden alabilirim?,İngilizce hazırlık metaryellerini nereden alabilirim ?
685,Hazırlık kitaplarını nereden alabilirim?,İngilizce hazırlık kitaplarını okul mu veriyor ?
686,İngilizce hazırlık metaryellerini nereden alabilirim ?,İngilizce hazırlık kitaplarını okul mu veriyor ?
687,Hazırlık ders programımı nereden bulabilirim ?,ders programımı nereden görebilirim
688,Hazırlık ders programımı nereden bulabilirim ?,Ders programıma nereden ulaşabilirim?
689,ders programımı nereden görebilirim,Ders programıma nereden ulaşabilirim?
690,Bilet sınavı geçme notu kaç?,Bilet sınavında başarı notu kaçtır?
691,Bilet sınavı geçme notu kaç?,Bilet sınavında geçme puanını nereden öğrenebilirim?
692,Bilet sınavında başarı notu kaçtır?,Bilet sınavında geçme puanını nereden öğrenebilirim?
693,Hazırlıkta öğrenemediğim konular var nereden yardım alabilirim?,Hazırlıkta yazı yazdım nereye gösterebilirim?
694,Hazırlıkta öğrenemediğim konular var nereden yardım alabilirim?,Hazırlıkta ekstra writing almak için ne yapmam gerekiyor ?
695,Hazırlıkta yazı yazdım nereye gösterebilirim?,Hazırlıkta ekstra writing almak için ne yapmam gerekiyor ?
696,Başka üniversite de hazırlık okudum bi daha okumam gerekiyor mu ?,Başka üniversite de hazırlık okudum muaf olur muyum?
697,Başka üniversite de hazırlık okudum bi daha okumam gerekiyor mu ?,Başka üniversite de hazırlık okudum bilete girmeme gerek var mı?
698,Başka üniversite de hazırlık okudum muaf olur muyum?,Başka üniversite de hazırlık okudum bilete girmeme gerek var mı?
699,Bir kurda kaç kere kalma hakkım var ?,Bir kurda kaç kere başarısız olabilirim ?
700,Bir kurda kaç kere kalma hakkım var ?,Bir kur da kaç kere repeat olabilirim?
701,Bir kurda kaç kere başarısız olabilirim ?,Bir kur da kaç kere repeat olabilirim?
702,Tam bursluyum kitaba ücret ödüyor muyum ?,Hazırlık kitabına tam burslular ücret veriyor mu ?
703,Tam bursluyum kitaba ücret ödüyor muyum ?,Tam bursluyum hazırlık kitaplarına para verecek miyim ?
704,Hazırlık kitabına tam burslular ücret veriyor mu ?,Tam bursluyum hazırlık kitaplarına para verecek miyim ?
705,Kuştepede öğrenci işleri var mı ?,Hazırlıkta öğrenci işleri var mı?
706,Kuştepede öğrenci işleri var mı ?,Hazırlıkta öğrenci işleri nerede ?
707,Hazırlıkta öğrenci işleri var mı?,Hazırlıkta öğrenci işleri nerede ?
708,Bilet sınavım beklediğimden düşük geldi itiraz edebilir miyim?,Kur geçme sınavım çok düşük geldi itiraz edebilir miyim?
709,Bilet sınavım beklediğimden düşük geldi itiraz edebilir miyim?,Sınavımdan beklediğim notu alamadım itiraz edebilir miyim ?
710,Kur geçme sınavım çok düşük geldi itiraz edebilir miyim?,Sınavımdan beklediğim notu alamadım itiraz edebilir miyim ?
711,Hazırlık okuyorum ama kurlardan geçemiyorum türkçe bölüme geçebilir miyim ?,Hazırlık okurken iptal edip türkçe bölüme geçme hakkım var mı ?
712,Hazırlık okuyorum ama kurlardan geçemiyorum türkçe bölüme geçebilir miyim ?,Hazırlıktan başarısız oluyorum türkçe bi bölüme geçebilir miyim ?
713,Hazırlık okurken iptal edip türkçe bölüme geçme hakkım var mı ?,Hazırlıktan başarısız oluyorum türkçe bi bölüme geçebilir miyim ?
714,Speaking imi geliştirmek istiyorum ne yapabilirim ?,Speaking geliştirmek için okulun imkanı var mı?
715,Speaking imi geliştirmek istiyorum ne yapabilirim ?,İngilizce konuşmam zayıf geliştirmek istiyorum ne yapabilirim?
716,Speaking geliştirmek için okulun imkanı var mı?,İngilizce konuşmam zayıf geliştirmek istiyorum ne yapabilirim?
717,Kuştepeden aldığım kitabı başka kampüse bırakabilir miyim?,Hazırlıktaki kütüphanden aldığım kitabı başka kampüse bırakabilirmiyim?
718,Kuştepeden aldığım kitabı başka kampüse bırakabilir miyim?,Kuştepe kütüphanesinden aldığım kitabı santrale bırakabilir miyim ?
719,Hazırlıktaki kütüphanden aldığım kitabı başka kampüse bırakabilirmiyim?,Kuştepe kütüphanesinden aldığım kitabı santrale bırakabilir miyim ?
720,İngilizce Hazırlık okuyorum ingilizce kitap almak istiyorum okulda var mı ?,İngilizce Hazırlık okuyorum kütüphanede ingilizce kitap var mı ?
721,İngilizce Hazırlık okuyorum ingilizce kitap almak istiyorum okulda var mı ?,İngilizce Hazırlık okuyorum kütüphanede ingilizce kitap bulunuyor mu ?
722,İngilizce Hazırlık okuyorum kütüphanede ingilizce kitap var mı ?,İngilizce Hazırlık okuyorum kütüphanede ingilizce kitap bulunuyor mu ?
723,Hazırlığı dondurabilir miyim ?,İngilizce Hazırlığı dondurma imkanım var mı?
724,Hazırlığı dondurabilir miyim ?,İngilizce hazırlığı kaç dönem dondurabilirim?
725,İngilizce Hazırlığı dondurma imkanım var mı?,İngilizce hazırlığı kaç dönem dondurabilirim?
726,Hazırlıkta kaç seviye var ?,Hazırlıkta kaç kur var ?
727,Hazırlıkta kaç seviye var ?,Hazırlıkta kaç dönem var ?
728,Hazırlıkta kaç kur var ?,Hazırlıkta kaç dönem var ?
729,Hazırlık okurken başka diller de öğrenmek istiyorum yapabilir miyim ?,İngilizce hazırlık okurken başka dilleri öğrenme imkanım var mı?
730,Hazırlık okurken başka diller de öğrenmek istiyorum yapabilir miyim ?,Hazırlık okurken başka dil öğrenme imkanı sunuyormusunuz ?
731,İngilizce hazırlık okurken başka dilleri öğrenme imkanım var mı?,Hazırlık okurken başka dil öğrenme imkanı sunuyormusunuz ?
732,DGS ile geldim hazırlıga geç başladım ne yapabilirim?,Dikey geçiş ile geldim seviye belirleme sınavını kaçırdım ne yapabilirim?
733,DGS ile geldim hazırlıga geç başladım ne yapabilirim?,DGS ile geldim hazırlığa geç başladım nereye danışabilirim?
734,Dikey geçiş ile geldim seviye belirleme sınavını kaçırdım ne yapabilirim?,DGS ile geldim hazırlığa geç başladım nereye danışabilirim?
735,Hazırlık okumadan bilet ile muaf oldum ne yapmam gerekiyor ?,Hazırlıktan muaf oldum ne yapmalıyım ?
736,Hazırlık okumadan bilet ile muaf oldum ne yapmam gerekiyor ?,Bilet ile hazırlığı geçtim bölüm kaydımı nereden yapabilirim ?
737,Hazırlıktan muaf oldum ne yapmalıyım ?,Bilet ile hazırlığı geçtim bölüm kaydımı nereden yapabilirim ?
738,Üniversitenin mobil uygulaması var mı?,Mobil uygulamanız var mı?
739,Üniversitenin mobil uygulaması var mı?,Bilgi mobil uygulamaya sahip mi?
740,Mobil uygulamanız var mı?,Bilgi mobil uygulamaya sahip mi?
741,Üniversitenizde ikinci öğretim var mı ?,Bilgi de ikinci öğrenim var mı ?
742,Üniversitenizde ikinci öğretim var mı ?,İkinci öğretim okumak istiyorum bilgi de var mı ?
743,Bilgi de ikinci öğrenim var mı ?,İkinci öğretim okumak istiyorum bilgi de var mı ?
744,Öğrenim ücreti her yıl artıyor mu ?,Okulun fiyatına zam gelecek mi ?
745,Öğrenim ücreti her yıl artıyor mu ?,her yıl yüzde kaç fiyat artışı oluyor ?
746,Okulun fiyatına zam gelecek mi ?,her yıl yüzde kaç fiyat artışı oluyor ?
747,AR-GE birimleri hakkında bilgi alabilir miyim ?,Ar-ge çalışmaları hakkında bilgiye nasıl ulaşırım?
748,AR-GE birimleri hakkında bilgi alabilir miyim ?,Ar-ge hakkında bilgi verirmisiniz ?
749,Ar-ge çalışmaları hakkında bilgiye nasıl ulaşırım?,Ar-ge hakkında bilgi verirmisiniz ?
750,Üniversitenizin Kontenjanları hakkında bilgi alabilir miyim ?,Bilgi de kontenjan bilgisini nasıl bulabilirim ?
751,Üniversitenizin Kontenjanları hakkında bilgi alabilir miyim ?,Kontenjan bilgileri için nereden yardım alabilirim ?
752,Bilgi de kontenjan bilgisini nasıl bulabilirim ?,Kontenjan bilgileri için nereden yardım alabilirim ?
753,Üniversiteniz de online işlemler nelerdir?,Online olarak ne gibi işlemler yapabilirim?
754,Üniversiteniz de online işlemler nelerdir?,Online olarak destek nasıl alabilirim ?
755,Online olarak ne gibi işlemler yapabilirim?,Online olarak destek nasıl alabilirim ?
756,Akademik personel sayınız kaçtır ?,Akademik çalışanlar hakkında bilgi nasıl alabilirim?
757,Akademik personel sayınız kaçtır ?,Üniversitenizde kaç akademik çalışan mevcuttur?
758,Akademik çalışanlar hakkında bilgi nasıl alabilirim?,Üniversitenizde kaç akademik çalışan mevcuttur?
759,Üniversitenizde barınma imkanı var mı?,Şehir dışından geliyorum. Üniversite barınma sağlıyor mu ?
760,Üniversitenizde barınma imkanı var mı?,Üniversitenin yakınlarında yurt var mı?
761,Şehir dışından geliyorum. Üniversite barınma sağlıyor mu ?,Üniversitenin yakınlarında yurt var mı?
762,Kaç adet kampüs bulunmaktadır?,Kampüslerinizi öğrenebilir miyim?
763,Kaç adet kampüs bulunmaktadır?,Kampüsleriniz nerede ?
764,Kampüslerinizi öğrenebilir miyim?,Kampüsleriniz nerede ?
765,Üniversiteniz de sağlık hizmeti var mı ?,Üniversiteniz de sağlık hizmeti nerede verilmekte ?
766,Üniversiteniz de sağlık hizmeti var mı ?,Bilgi de ilk yardım var mı ?
767,Üniversiteniz de sağlık hizmeti nerede verilmekte ?,Bilgi de ilk yardım var mı ?
768,Bilgi üniversitesinde özel yetenek sınavı ile öğrenci alan bölümler var mı ?,Özel yetenek sınavıyla bilgiye gelebilir miyim ?
769,Bilgi üniversitesinde özel yetenek sınavı ile öğrenci alan bölümler var mı ?,Özel yetenek sınavı ile bilgi de okuma imkanım var mı ?
770,Özel yetenek sınavıyla bilgiye gelebilir miyim ?,Özel yetenek sınavı ile bilgi de okuma imkanım var mı ?
771,Bilgi üniversitesinde hangi bölümler bulunmaktadır ?,Bilgi üniversitesindeki bölümleri öğrenebilir miyim ?
772,Bilgi üniversitesinde hangi bölümler bulunmaktadır ?,Üniversiteniz deki bölümleri öğrenebilirmiyim ?
773,Bilgi üniversitesindeki bölümleri öğrenebilir miyim ?,Üniversiteniz deki bölümleri öğrenebilirmiyim ?
774,Bilgi üniversitesinde önlisans bölümleri var mı ?,Bilgi üniversitesinde iki yıllık bölümler var mı?
775,Bilgi üniversitesinde önlisans bölümleri var mı ?,Üniversiteniz deki önlisans bölümlerini öğrenebilir miyim ?
776,Bilgi üniversitesinde iki yıllık bölümler var mı?,Üniversiteniz deki önlisans bölümlerini öğrenebilir miyim ?
777,Ek yerleştirmeden nasıl yararlanabilirim ?,Ek yerleştirme ne demektir?
778,Ek yerleştirmeden nasıl yararlanabilirim ?,Ek yerleştirme imkanı var mı ?
779,Ek yerleştirme ne demektir?,Ek yerleştirme imkanı var mı ?
780,Bilgi de misafir öğrenci kabul ediliyor mu ?,Misafir öğrenci olarak derslere katılabilir miyim ?
781,Bilgi de misafir öğrenci kabul ediliyor mu ?,Misafir öğrenci derslere alınıyor mu ?
782,Misafir öğrenci olarak derslere katılabilir miyim ?,Misafir öğrenci derslere alınıyor mu ?
783,Çift ana dal hakkında bilgi alabilir miyim ?,Çift anadal nedir ?
784,Çift ana dal hakkında bilgi alabilir miyim ?,Çift anadal şartları nelerdir ?
785,Çift anadal nedir ?,Çift anadal şartları nelerdir ?
786,Bilgi üniversitesinden lisans mezunuyum yüksek lisans okumak istiyorum bilgi verir misiniz ?,Bilgili olmanın yüksek lisans da avantajı var mı ?
787,Bilgi üniversitesinden lisans mezunuyum yüksek lisans okumak istiyorum bilgi verir misiniz ?,Bilgi üniversitesinden mezunum yüksek lisans da burs imkanı sağlıyor musunuz ?
788,Bilgili olmanın yüksek lisans da avantajı var mı ?,Bilgi üniversitesinden mezunum yüksek lisans da burs imkanı sağlıyor musunuz ?
789,Burslar hangi durumda kesilir ?,Ortalamam düşük geldi bursum kesilir mi ?
790,Burslar hangi durumda kesilir ?,Bursların geri alınma durumları nelerdir ?
791,Ortalamam düşük geldi bursum kesilir mi ?,Bursların geri alınma durumları nelerdir ?
792,Üniversite giriş sınavında sıralama yapanlara burs sağlıyor musunuz ?,Belirli sıralama yapmış öğrencilere özel burs sağlanıyor mu ?
793,Üniversite giriş sınavında sıralama yapanlara burs sağlıyor musunuz ?,Üniversite giriş sınavından yüksek başarı elde edenlere özel burs veriyor musunuz ?
